Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,Total,Accesos por cada 100 hogares
2022,1,San Juan,26,2269,32356,11914,25144,2088,11916,2465,87888,290,88178,43.55
2022,1,San Luis,61,643,8287,3837,9802,68612,13,28589,119659,185,119844,80.72
2022,1,Santa Cruz,51,6898,12710,11502,12277,2628,2551,485,48898,204,49102,43.34
2022,1,Santa Fe,468,12435,143796,208361,84787,58018,344170,18444,870364,115,870479,77.3
2022,1,Santiago Del Estero,178,1401,30220,61170,13542,849,8309,792,116459,2,116461,47.17
2022,1,Tierra Del Fuego,24,894,12849,15640,18034,1767,982,2421,52298,313,52611,98.29
2022,1,Tucumán,39,2212,36028,46961,21014,5211,133846,273,245554,30,245584,57.39
2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4502772,6385,4509157,75.66
2021,4,Capital Federal,563,1695,47133,81899,66135,66755,1147939,0,1409935,2184,1412119,111.27
2021,4,Catamarca,71,0,6038,7855,9804,3262,29827,2233,59089,1,59090,55.25
2021,4,Chaco,461,112,18845,22678,21937,13692,58435,7585,143740,5,143745,44.05
2021,4,Chubut,126,1294,63698,39568,31175,5780,2904,15763,159364,944,160308,82.57
2021,4,Córdoba,100,2479,184548,130892,76246,41198,538700,12607,986693,77,986770,84.51
2021,4,Corrientes,67,645,28830,26368,22922,10087,39911,7082,135908,4,135912,45.51
2021,4,Entre Ríos,107,3024,56043,49636,38295,24068,77290,16583,265024,22,265046,63.16
2021,4,Formosa,84,0,22908,6983,6811,1135,13775,1967,53663,0,53663,34.45
2021,4,Jujuy,58,175,22446,16793,38134,564,33421,2324,113915,0,113915,56.92
2021,4,La Pampa,301,493,64840,9082,12259,4821,12184,3027,106834,173,107007,89.57
2021,4,La Rioja,18,1,5018,5437,23559,5671,43424,0,83124,4,83128,77.92
2021,4,Mendoza,156,1463,66428,30308,75214,18621,75031,366,266783,804,267587,47.51
2021,4,Misiones,51,5,41916,23554,26721,15954,54596,8335,171132,0,171132,49.06
2021,4,Neuquén,140,940,42313,13264,10515,3310,69217,7767,146989,477,147466,73.3
2021,4,Río Negro,156,1174,38373,19878,31255,4130,36142,22645,153189,564,153753,65.69
2021,4,Salta,114,20,40673,69324,6642,3535,72622,6475,199399,6,199405,56.81
2021,4,San Juan,44,1442,28906,10955,23978,398,9800,4435,79667,291,79958,39.59
2021,4,San Luis,62,264,8550,4276,9107,67363,9,29218,118662,187,118849,80.3
2021,4,Santa Cruz,52,297,20305,11641,13054,1770,876,491,48276,210,48486,43.05
2021,4,Santa Fe,467,581,169706,206856,85690,62349,322015,18777,866265,176,866441,77.09
2021,4,Santiago Del Estero,178,909,31915,61524,12205,800,7537,793,115859,2,115861,47.05
2021,4,Tierra Del Fuego,26,385,13505,16534,16562,1748,1017,2580,52042,315,52357,98.4
2021,4,Tucumán,39,97,37321,48736,21023,5326,125857,240,238609,30,238639,55.93
2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4246425,5184,4251609,71.68
2021,3,Capital Federal,295,603,156978,67013,39785,73502,1075229,0,1411797,1608,1413405,111.27
2021,3,Catamarca,71,0,6755,8428,10517,1659,26618,2206,56253,1,56254,52.71
2021,3,Chaco,301,112,22545,20986,23852,14412,49705,7958,139868,3,139871,42.96
2021,3,Chubut,104,105,89168,26281,18538,5320,1643,14907,155266,800,156066,80.71
2021,3,Córdoba,99,2452,204989,141285,65050,47198,476459,9256,946726,62,946788,81.28
2021,3,Corrientes,67,645,29629,28478,24792,9687,35468,5053,133816,3,133819,44.9
2021,3,Entre Ríos,107,3024,61354,59776,39114,16284,67961,12755,260360,15,260375,62.18
2021,3,Formosa,381,0,22778,7142,6978,1192,12707,1617,52795,0,52795,33.96
2021,3,Jujuy,48,175,23884,16417,37755,561,29917,2401,111158,0,111158,55.69
2021,3,La Pampa,298,313,65063,7395,8737,4023,10506,4152,100371,116,100487,84.28
2021,3,La Rioja,18,1,5366,5979,23315,4868,42613,0,82157,3,82160,77.26
2021,3,Mendoza,36,31,151871,12640,62628,7596,21087,50,255320,619,255939,45.55
2021,3,Misiones,51,5,41932,25099,26079,14792,42291,8279,158528,0,158528,45.57
2021,3,Neuquén,112,327,57441,8566,6234,3631,57919,5579,139436,373,139809,69.71
2021,3,Río Negro,125,557,68991,3730,14880,2282,34011,20009,144084,501,144585,61.97
2021,3,Salta,101,20,41431,70104,6962,3878,67010,6327,195831,2,195833,55.96
2021,3,San Juan,18,333,59873,752,13250,338,278,4641,79227,256,79483,39.46
2021,3,San Luis,60,0,11552,2405,6491,67942,22,29392,117716,148,117864,79.87
2021,3,Santa Cruz,50,0,30561,8365,6799,1788,678,735,48779,197,48976,43.75
2021,3,Santa Fe,467,579,193207,201250,83941,55080,290793,16267,841433,151,841584,75.02
2021,3,Santiago Del Estero,123,909,32752,61838,11274,801,6863,898,115457,1,115458,47.0
2021,3,Tierra Del Fuego,17,0,23723,13397,9782,1433,976,895,49934,289,50223,94.95
2021,3,Tucumán,32,97,39446,50293,21986,5300,115154,164,232447,25,232472,54.64
2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4127167,5184,4132351,70.0
2021,2,Capital Federal,294,603,157558,73568,43859,86655,1037752,66,1398747,1608,1400355,110.14
2021,2,Catamarca,71,0,7219,9091,6828,4941,25388,2206,55743,1,55744,52.34
2021,2,Chaco,301,112,23444,21574,24032,16069,47239,7958,140726,3,140729,43.33
